,d_error,g_error,d_pred_fake,d_pred_real
0,1.2589864307641982,2.8175260692586503,0.494815796614,0.614050865173
1,1.258889632821083,1.7228520519534747,0.496198803186,0.58232063055
2,1.2649453580379486,2.1868814570705095,0.267485111952,0.460854887962
3,1.2553575603167215,2.4698036400477092,0.521130442619,0.488324075937
4,1.2590906512737274,2.8440526098012926,0.59400165081,0.667070448399
5,1.2592006381352743,2.549752889871597,0.224365487695,0.700050115585
6,1.259953175187111,2.259427063067754,0.573621630669,0.50225174427
7,1.2542548471689223,2.2377945133050283,0.782043218613,0.562511265278
8,1.2572671077648798,2.3612041300535203,0.291420072317,0.75133985281
9,1.2569756259520848,2.215592544078827,0.688804268837,0.698410928249
10,1.2560054004192351,1.9971098079284033,0.206140443683,0.418674647808
11,1.2640222718318304,1.8947111862897872,0.406538575888,0.513075530529
12,1.2592533510923385,1.8873858867088953,0.496650636196,0.39909517765
13,1.2680731670061747,1.949391856789589,0.496973246336,0.767265975475
14,1.2623547810316085,1.8325239084164302,0.534903228283,0.525391578674
15,1.2551854836940766,1.7296208842595417,0.485627770424,0.81936019659
16,1.2630221080780029,1.6388526950279871,0.536245167255,0.287918806076
17,1.272135166923205,1.6516357665260633,0.287759751081,0.439485341311
18,1.2668688571453095,1.6834526590506236,0.276451200247,0.448172181845
19,1.261818501551946,1.6444657948613166,0.757495641708,0.679371356964
20,1.2637152441342672,1.6748866512378058,0.436042845249,0.505986392498
21,1.2644868516921997,1.5625004695852598,0.439494132996,0.553587496281
22,1.2677702464660008,1.4090062998731931,0.690051853657,0.817434668541
23,1.267231309612592,1.45786694308122,0.736737132072,0.593243956566
24,1.2710800598065057,1.4579868950446446,0.398625195026,0.364697664976
25,1.2684755806128185,1.5298522059122721,0.415441006422,0.40437862277
26,1.2634628864129385,1.5022387558221817,0.451053291559,0.547742187977
27,1.2720341237386068,1.418671607573827,0.426784843206,0.65649586916
28,1.2735537207126617,1.4438445430994034,0.532943487167,0.460361599922
29,1.2693282077709833,1.3818248560031254,0.558478713036,0.809765577316
30,1.2736245189110438,1.3145655371745428,0.373657852411,0.609930932522
31,1.2717667861779531,1.3185805866122247,0.252493172884,0.445279687643
32,1.2733133083581925,1.2535828236738842,0.419542998075,0.46047025919
33,1.2704928453763327,1.2711934472123783,0.236342325807,0.570657432079
34,1.2750184935331346,1.2872655103603998,0.341252624989,0.554563641548
